task_id,department,corridor_id,zone_id,station_code,asset_type,severity,overdue_days,failure_count_90d,asset_age_years,asset_health_index,safety_critical,single_point_failure,redundancy_available,daily_passenger_trains,daily_freight_trains,freight_forecast_24h,traffic_density_index,train_conflict_count,nearest_available_block_hours,requested_block_duration_min,estimated_repair_duration_min,crew_count_required,material_readiness_pct,weather_risk,night_work,permit_ready,dependency_count,historical_delay_minutes,traction_load_pct,ohe_temperature_c,contact_wire_wear_pct,pantograph_interaction_risk,traction_power_interruptions_30d,criticality_score,priority_class,recommended_window
MT-000001,Engineering,C3-West,Zone-A,570,Turnout,1,22,0,2.5,65.3,1,1,0,35,19,15.3,94.5,5,18.3,120,90,6,72.9,1,1,1,1,22.0,71.2,38.1,44.4,38.1,1,98.7,CRITICAL,Next available safe block
MT-000002,S&T,C1-North,Zone-C,224,Axle Counter,3,4,1,14.2,64.4,1,1,0,42,18,19.7,91.5,4,23.0,69,82,5,100.0,1,0,1,1,23.3,65.4,37.5,37.2,23.8,0,100.0,CRITICAL,Next available safe block
MT-000003,TRD,C3-West,Zone-D,433,Switchgear,3,0,1,4.8,77.9,1,1,1,44,16,16.4,78.2,5,17.0,173,198,11,79.2,0,0,1,1,29.7,60.1,23.9,14.3,28.0,2,100.0,CRITICAL,Next available safe block
MT-000004,TRD,C3-West,Zone-C,363,OHE Contact Wire,3,0,4,6.8,57.6,0,1,0,51,14,13.7,100.0,3,31.6,138,185,8,96.1,0,1,1,3,24.1,99.4,31.8,49.6,52.6,1,100.0,CRITICAL,Next available safe block
MT-000005,Engineering,C4-South,Zone-B,951,Track Circuit,1,0,2,13.1,98.0,1,0,1,48,26,22.8,100.0,6,22.5,131,129,9,95.2,0,0,1,0,27.8,83.1,23.6,23.7,44.8,1,95.78,CRITICAL,Next available safe block
MT-000006,Engineering,C3-West,Zone-A,290,Sleeper Zone,3,12,2,17.3,39.2,1,0,0,39,14,16.4,73.2,2,3.7,81,62,2,87.5,1,1,0,1,8.7,64.8,23.6,34.6,6.2,1,100.0,CRITICAL,Next available safe block
MT-000007,Engineering,C4-South,Zone-A,949,Rail Joint,2,0,1,9.9,87.1,1,0,0,46,14,6.4,76.2,3,23.4,165,175,9,93.7,0,0,1,1,23.8,91.1,27.3,48.9,37.0,0,93.21,CRITICAL,Next available safe block
MT-000008,S&T,C2-East,Zone-A,826,Signal,3,0,1,23.5,56.2,0,0,0,37,21,18.9,88.2,3,15.9,31,28,8,92.8,0,0,1,0,17.8,75.3,49.8,11.2,19.5,2,97.21,CRITICAL,Next available safe block
MT-000009,TRD,C4-South,Zone-C,320,OHE Insulator,1,8,2,5.0,80.2,0,1,0,36,11,11.2,64.4,3,12.1,39,49,10,83.6,0,1,1,0,6.5,77.5,38.6,35.0,34.3,2,85.3,CRITICAL,Next available safe block
MT-000010,TRD,C2-East,Zone-D,298,OHE Insulator,4,0,1,20.7,63.1,1,0,0,50,15,13.3,92.0,2,8.9,148,108,10,86.8,0,0,1,1,18.3,83.1,46.3,48.9,46.9,2,100.0,CRITICAL,Next available safe block
MT-000011,Engineering,C4-South,Zone-D,443,Turnout,1,0,1,6.3,86.7,0,0,0,32,15,8.0,80.6,5,16.0,95,147,9,64.5,1,1,1,1,29.2,77.9,37.0,34.6,16.7,0,74.52,HIGH,Within 72 hours
MT-000012,S&T,C5-Central,Zone-C,273,Track Circuit,5,15,0,25.2,26.1,1,0,0,40,16,22.7,87.0,4,23.1,63,28,6,75.9,0,0,1,0,18.9,59.4,31.5,19.5,3.8,3,99.28,CRITICAL,Next available safe block
MT-000013,S&T,C6-Coastal,Zone-C,316,Axle Counter,4,0,0,22.3,64.5,0,0,0,46,20,19.8,84.0,6,23.3,66,84,11,56.8,0,1,1,0,42.9,36.1,39.5,39.0,6.4,2,100.0,CRITICAL,Next available safe block
MT-000014,Engineering,C2-East,Zone-B,305,Bridge Component,4,4,0,14.6,43.7,1,0,0,48,13,18.3,86.2,3,23.6,105,102,3,80.4,2,1,1,1,12.9,48.3,45.5,35.3,23.6,0,100.0,CRITICAL,Next available safe block
MT-000015,Engineering,C2-East,Zone-E,678,Sleeper Zone,5,16,3,18.1,14.0,0,0,0,44,13,11.6,95.0,9,22.6,174,183,7,91.3,0,0,1,0,23.3,53.1,38.2,24.3,26.7,0,100.0,CRITICAL,Next available safe block
MT-000016,Engineering,C3-West,Zone-E,472,Rail Joint,1,5,1,19.2,85.9,1,0,0,39,18,14.2,77.9,0,18.9,72,101,3,93.6,0,1,1,0,14.4,60.8,15.0,40.6,14.0,0,78.48,HIGH,Within 72 hours
MT-000017,Engineering,C2-East,Zone-A,273,Track Circuit,3,30,0,10.1,27.7,0,1,0,40,11,11.6,63.7,1,11.1,93,115,7,95.9,1,0,1,0,11.9,50.6,36.2,44.9,22.9,2,100.0,CRITICAL,Next available safe block
MT-000018,TRD,C4-South,Zone-D,177,OHE Insulator,4,18,1,13.1,21.3,1,0,1,40,14,13.6,93.8,4,16.7,26,21,7,44.9,1,1,1,0,19.4,87.5,46.7,85.7,66.6,2,99.44,CRITICAL,Next available safe block
MT-000019,TRD,C5-Central,Zone-A,422,OHE Contact Wire,2,18,1,2.5,56.1,1,0,0,36,9,12.7,54.0,1,16.2,30,51,10,60.1,0,1,1,1,9.5,87.0,33.5,48.3,43.7,3,99.38,CRITICAL,Next available safe block
MT-000020,Engineering,C5-Central,Zone-D,653,Rail Joint,3,0,2,3.2,56.9,1,0,1,47,11,19.9,82.1,7,28.2,26,15,11,100.0,0,1,1,3,21.3,77.2,29.2,41.4,14.6,0,100.0,CRITICAL,Next available safe block
MT-000021,TRD,C3-West,Zone-D,675,Section Insulator,3,7,0,20.1,64.4,0,0,1,47,9,7.3,68.5,3,32.4,141,143,9,71.8,2,1,1,1,21.5,37.1,23.3,47.5,38.9,1,100.0,CRITICAL,Next available safe block
MT-000022,Engineering,C4-South,Zone-B,483,Rail Joint,3,5,0,12.3,66.0,0,1,0,41,9,0.7,65.9,2,15.4,74,131,11,85.6,3,1,1,1,7.1,55.7,40.3,44.8,38.2,0,93.86,CRITICAL,Next available safe block
MT-000023,Engineering,C4-South,Zone-C,940,Sleeper Zone,5,4,2,19.9,38.3,0,0,1,43,17,17.9,69.1,5,24.0,177,199,4,77.5,2,0,1,1,24.2,53.2,21.9,34.7,15.9,1,100.0,CRITICAL,Next available safe block
MT-000024,Engineering,C1-North,Zone-C,536,Bridge Component,3,3,1,17.0,75.8,1,0,0,44,14,13.9,74.4,2,5.3,170,197,8,83.8,1,1,1,1,15.6,69.0,35.4,26.0,26.5,1,96.99,CRITICAL,Next available safe block
MT-000025,TRD,C2-East,Zone-C,298,OHE Insulator,1,7,0,13.6,76.4,0,0,1,40,11,11.3,49.8,4,24.5,57,21,5,83.6,0,0,1,1,10.3,89.9,25.2,33.6,28.7,2,69.24,HIGH,Within 72 hours
MT-000026,S&T,C3-West,Zone-E,701,Point Machine,5,0,0,21.9,65.7,1,0,1,46,18,16.4,100.0,3,13.5,120,119,10,87.6,2,1,0,0,12.7,59.4,33.5,17.0,8.7,1,100.0,CRITICAL,Next available safe block
MT-000027,Engineering,C5-Central,Zone-C,106,Track Circuit,2,0,2,20.6,77.4,0,0,1,37,15,10.3,73.1,1,14.6,180,205,5,61.8,0,0,1,1,6.1,40.0,34.8,41.0,19.1,0,92.2,CRITICAL,Next available safe block
MT-000028,TRD,C6-Coastal,Zone-E,362,Switchgear,4,23,2,7.1,13.8,1,1,0,39,13,6.7,70.6,6,28.7,132,120,11,100.0,0,0,1,0,15.4,77.9,34.5,87.7,60.1,1,100.0,CRITICAL,Next available safe block
MT-000029,TRD,C1-North,Zone-A,733,Switchgear,5,3,1,2.6,54.0,0,1,0,34,21,29.1,70.7,4,18.1,156,159,7,93.6,0,0,1,0,20.8,92.4,52.7,47.9,41.4,0,100.0,CRITICAL,Next available safe block
MT-000030,Engineering,C4-South,Zone-E,775,Turnout,4,2,2,5.3,47.1,1,0,0,48,23,18.2,89.9,6,25.9,96,118,6,66.2,0,0,1,0,13.5,57.1,40.3,35.9,0.0,0,100.0,CRITICAL,Next available safe block
MT-000031,TRD,C2-East,Zone-D,727,Section Insulator,4,7,1,21.3,52.9,0,0,0,43,27,34.4,100.0,9,21.1,72,81,11,72.4,0,1,1,2,32.6,90.6,28.6,67.9,45.8,4,100.0,CRITICAL,Next available safe block
MT-000032,Engineering,C5-Central,Zone-B,624,Sleeper Zone,4,8,0,18.0,56.6,0,1,0,38,10,12.8,61.9,5,17.3,140,162,2,90.9,0,1,1,0,15.5,54.0,30.9,24.9,11.5,2,100.0,CRITICAL,Next available safe block
MT-000033,Engineering,C1-North,Zone-B,119,Turnout,4,0,3,1.6,48.4,1,1,0,50,17,15.0,98.2,4,36.1,60,119,7,82.5,2,1,1,1,12.9,75.8,25.0,41.7,21.6,0,99.03,CRITICAL,Next available safe block
MT-000034,S&T,C4-South,Zone-D,812,Point Machine,3,9,0,11.2,59.4,0,1,0,51,15,20.1,96.3,1,14.1,162,208,7,84.8,3,1,0,1,3.4,60.9,48.1,2.0,17.6,0,100.0,CRITICAL,Next available safe block
MT-000035,S&T,C5-Central,Zone-A,920,Axle Counter,2,13,1,20.0,61.1,0,0,0,42,13,5.8,66.5,3,11.8,118,144,3,65.2,0,0,1,1,8.2,63.1,42.2,13.9,17.4,0,100.0,CRITICAL,Next available safe block
MT-000036,S&T,C5-Central,Zone-B,353,Axle Counter,2,13,0,6.2,65.4,0,0,0,54,20,13.6,100.0,5,13.1,49,69,9,82.1,0,1,1,2,12.4,87.5,33.1,12.8,19.5,1,91.91,CRITICAL,Next available safe block
MT-000037,Engineering,C4-South,Zone-D,697,Track Circuit,4,0,1,12.1,63.6,0,0,0,50,15,12.9,94.2,1,22.8,109,153,8,80.9,0,0,1,1,16.7,63.4,30.1,43.7,19.3,1,95.05,CRITICAL,Next available safe block
MT-000038,Engineering,C4-South,Zone-B,279,Rail Joint,3,22,0,19.2,39.7,0,0,1,43,10,5.2,69.6,2,21.1,131,160,10,52.3,3,0,1,1,13.0,92.9,48.7,30.3,17.5,0,100.0,CRITICAL,Next available safe block
MT-000039,TRD,C3-West,Zone-E,848,Traction Transformer,3,21,0,17.5,41.1,1,0,0,51,15,7.0,90.4,2,13.9,55,97,12,70.5,0,1,1,0,18.2,69.9,34.6,67.3,62.9,2,100.0,CRITICAL,Next available safe block
MT-000040,TRD,C5-Central,Zone-B,452,OHE Contact Wire,3,20,1,3.7,32.5,0,1,1,56,13,16.3,93.8,7,3.6,83,107,2,100.0,2,0,1,0,26.7,83.8,38.1,61.4,43.9,0,100.0,CRITICAL,Next available safe block
MT-000041,Engineering,C4-South,Zone-E,672,Turnout,4,15,3,17.1,24.5,1,1,1,54,8,8.5,73.5,6,38.2,82,98,3,95.8,0,0,1,2,12.4,61.5,31.8,27.5,26.1,1,100.0,CRITICAL,Next available safe block
MT-000042,TRD,C6-Coastal,Zone-E,826,Switchgear,4,5,2,13.7,49.9,0,0,0,46,17,11.7,83.9,4,17.1,70,134,10,60.9,1,0,1,0,15.5,69.2,37.9,43.8,39.5,1,100.0,CRITICAL,Next available safe block
MT-000043,Engineering,C6-Coastal,Zone-B,992,Sleeper Zone,1,8,1,18.0,73.9,1,1,0,42,17,13.8,77.7,2,5.5,70,75,2,73.9,0,1,1,2,11.6,44.3,20.8,29.4,29.5,1,97.17,CRITICAL,Next available safe block
MT-000044,S&T,C1-North,Zone-B,314,Axle Counter,3,21,2,8.0,29.4,0,0,0,40,15,11.9,82.9,3,22.9,169,220,4,75.3,2,1,1,2,19.6,21.2,53.6,21.3,6.4,2,100.0,CRITICAL,Next available safe block
MT-000045,Engineering,C2-East,Zone-E,457,Turnout,2,0,2,18.5,83.7,1,0,0,35,14,16.5,64.2,0,32.4,164,171,7,61.6,3,0,1,1,6.7,73.3,35.6,47.5,29.1,1,92.74,CRITICAL,Next available safe block
MT-000046,TRD,C6-Coastal,Zone-B,983,Isolator,3,1,1,15.3,65.9,1,0,0,37,14,20.5,79.0,6,22.7,147,169,11,100.0,3,0,1,0,22.7,57.4,29.6,46.9,42.6,1,100.0,CRITICAL,Next available safe block
MT-000047,Engineering,C3-West,Zone-A,701,Sleeper Zone,1,12,0,22.8,63.6,1,1,0,44,17,19.3,86.7,2,12.5,69,84,6,52.1,0,0,1,0,17.0,85.8,55.8,32.4,23.0,0,100.0,CRITICAL,Next available safe block
MT-000048,TRD,C4-South,Zone-C,707,Traction Transformer,4,6,2,11.1,56.5,1,0,0,49,15,13.5,85.9,3,12.6,33,48,7,66.6,3,1,1,2,16.7,81.5,52.5,52.0,41.8,3,100.0,CRITICAL,Next available safe block
MT-000049,TRD,C2-East,Zone-C,672,OHE Insulator,1,4,2,6.9,82.8,1,1,0,47,19,20.9,94.0,1,10.4,75,78,9,80.6,3,1,1,0,14.2,77.0,44.6,21.0,42.9,2,98.92,CRITICAL,Next available safe block
MT-000050,Engineering,C3-West,Zone-D,667,Track Circuit,2,23,0,3.4,38.6,0,1,1,39,12,11.5,78.1,3,12.5,131,161,7,86.8,1,1,1,1,14.9,43.7,35.4,43.1,0.0,2,100.0,CRITICAL,Next available safe block
MT-000051,S&T,C5-Central,Zone-C,319,Track Circuit,4,16,2,21.0,19.5,0,1,0,37,9,11.6,72.3,1,9.7,96,110,10,100.0,2,0,1,1,4.1,35.1,38.5,40.3,33.5,1,100.0,CRITICAL,Next available safe block
MT-000052,TRD,C2-East,Zone-A,705,Section Insulator,1,17,2,0.5,62.8,1,0,1,50,12,19.8,93.7,1,18.7,49,55,2,61.8,2,0,1,2,8.9,76.7,47.2,55.1,34.9,2,100.0,CRITICAL,Next available safe block
MT-000053,S&T,C6-Coastal,Zone-C,651,Axle Counter,3,1,3,0.8,57.5,1,0,0,59,13,13.2,100.0,8,25.2,78,39,11,80.2,1,0,1,1,20.8,36.8,43.6,48.7,20.6,1,100.0,CRITICAL,Next available safe block
MT-000054,S&T,C3-West,Zone-C,436,Axle Counter,5,3,2,12.4,36.1,0,0,0,41,16,17.4,79.9,3,7.1,121,134,2,80.2,2,1,1,3,13.3,94.2,33.6,34.2,27.0,3,100.0,CRITICAL,Next available safe block
